Domain,CNPJ,Company Name,Address,Phone,RDAP Email,ReceitaWS Email,Socio 1 Nome,Socio 1 Cargo,Socio 2 Nome,Socio 2 Cargo
mantellimoveis.com.br,08.662.479/0001-33,MANTELLI MOVEIS LTDA,"AVENIDA DA SAUDADE, 364, VILA ASSUNCAO, SANTO ANDRE, SP",(11) 4437-4048,luizmantelli@gmail.com,contato@mantellimoveis.com.br,LUIZ CARLOS MANTELLI,22-Sócio,LUIZ ROGERIO MANTELLI,49-Sócio-Administrador
atualleplanejados.com.br,38.214.667/0001-60,ELIZETE CRISTINA DA SILVA GONCALVES,"AVENIDA DOUTOR RUDGE RAMOS, 283, RUDGE RAMOS, SAO BERNARDO DO CAMPO, SP",(11) 4365-1142 / (11) 4177-5763 / (11) 4365-1142,atualle.gerencia@gmail.com,vladiscontabil@vladis.com.br,Not available,Not available,Not available,Not available
sidlar.com.br,04.691.623/0010-08,SIDLAR PLANEJADOS - MOVEIS E DECORACOES LTDA.,"RODOVIA ARAO SAHM, 5301, LUIZ FAGUNDES, MAIRIPORA, SP",(11) 2701-2014,marcio@sidlar.com.br,sidlarmoveis@hotmail.com,Not available,Not available,Not available,Not available
romanzza.com.br,05.333.226/0001-28,ROMANZZA MOVEIS LTDA.,"AV 25 DE JULHO, 3125, PARQUE DOS PINHEIROS, FLORES DA CUNHA, RS",(54) 3292-9900/ (54) 3292-9924,suporte@romanzza.com.br,contabil@romanzza.com.br,VALMIR LUIS ARGENTA,49-Sócio-Administrador,NELSON JOSE SCARMIN,49-Sócio-Administrador
prettymoveis.com.br,54.454.772/0001-22,PRETTY-PINHO MOVEIS E DECORACOES LTDA,"RUA ALAGOAS, 596, CENTRO, SAO CAETANO DO SUL, SP",(11) 4224-6096 / (11) 4224-6333 / (11) 4224-6333,thiago.tortosa@gmail.com,assessoriaianni@uol.com.br,ELSON GOMES VIEIRA,49-Sócio-Administrador,CASSIA CRISTINA COZALIN,22-Sócio
movelariafranca.com.br,18.651.386/0001-67,RONALDO FRANCA DE SOUZA LTDA,"AVENIDA SANTOS DUMONT, 621, CASA BRANCA, SANTO ANDRE, SP",(11) 4319-9006,barbara@movelariafranca.com.br,barbara@movelariafranca.com.br,RONALDO FRANCA DE SOUZA,49-Sócio-Administrador,Not available,Not available
bergamoplanejados.com.br,33.931.173/0001-82,RALUCAE GESTAO DE NEGOCIOS LTDA,"RUA OSVALDO CRUZ, 182, SANTA PAULA, SAO CAETANO DO SUL, SP",(11) 3539-1263,ebmch28@gmail.com,administrativo@bergamoplanejados.com.br,ERIC BERGAMO MACHADO,49-Sócio-Administrador,Not available,Not available
moveisresidence.com.br,50.152.743/0001-55,MOVEIS RESIDENCE LTDA,"RUA PERRELLA, 151, FUNDACAO, SAO CAETANO DO SUL, SP",(11) 2068-8537 / (11) 4221-4277,vitor@cintracomunicacao.com.br,helioastolpho@outlook.com,HELIO ASTOLPHO,49-Sócio-Administrador,EVELIN CRISTINA ASTOLPHO,49-Sócio-Administrador
edyplanejados.com.br,51.571.669/0001-74,EDY COMERCIAL DE MOVEIS LTDA,"AV CAMPANELLA, 553, CID A E CARVALHO, SAO PAULO, SP",(11) 2041-4852,edyplanejados@edyplanejados.com.br,edy.moussa@gmail.com,EDY GUEDES MOUSSA,49-Sócio-Administrador,Not available,Not available
amaniplanejados.com.br,27.839.913/0001-52,AMANI DESIGN LTDA,"AVENIDA PORTUGAL, 1363, CENTRO, SANTO ANDRE, SP",(11) 5441-6571 / (11) 4942-5260,luciene@progettatimobili.com.br,legalizacao@guimaraesaranha.com.br,SAMARA IUSEF ABBAS,05-Administrador,MOHAMED JAROUCHE,22-Sócio
totalconceito.com.br,18.692.500/0001-05,E.A. SANTOS MOVEIS PLANEJADOS,"RUA ALDERICO ALVES DE FREITAS, 110, VILA CARMOSINA, SAO PAULO, SP",(11) 2962-9279,Totalconceito@gmail.com,rc@ribeiroecastro.com.br,Not available,Not available,Not available,Not available
yasmoveis.com.br,05.896.463/0001-05,MAHMOUD ALI SAROUT MOVEIS,"RUA ELEONORA CINTRA, 286, JARDIM ANALIA FRANCO, SAO PAULO, SP",(11) 2100-1100,adm_analiafranco@yasmoveis.com.br,ferracioli@ferracioli.com.br,Not available,Not available,Not available,Not available
blancodesign.com.br,27.336.158/0001-93,MOVEIS BLANCO DESIGN LTDA,"R TENENTE ANTONIO JOAO, 77, CERAMICA, SAO CAETANO DO SUL, SP",(11) 2759-3929,financeiro@blancodesign.com.br,adm@blancodesign.com.br,RICARDO BLANCO JUNIOR,49-Sócio-Administrador,Not available,Not available
mixplanejados.com.br,22.098.836/0001-03,ANTONIO VALDERI FERNANDES 14025721821,"RUA JOAO ALETTO, 38, VILA MORELLI, MAUA, SP",(11) 2629-9763,contato@niposolucoes.com.br,vinicius_monges@hotmail.com,Not available,Not available,Not available,Not available
triunfomarcenaria.com.br,21.871.194/0001-70,FINE MUG SOLUCOES EM INFORMATICA LTDA,"RUA MARTIM AFONSO DE SOUZA, 35, VILA PIRES, SANTO ANDRE, SP",(11) 2564-2689,higor.bimonti@gmail.com,higor.bimonti@gmail.com,HIGOR TADEU CORNACHINI BIMONTI,49-Sócio-Administrador,Not available,Not available
marcenariasevomrios.com.br,01.051.405/0001-11,MARCENARIA SEVOM RIOS LTDA,"TRAVESSA OSCAR FREIRE, 106, VILA SCARPELLI, SANTO ANDRE, SP",(11) 4973-6813 / (011) 4453-6983,sergioanjospereira@gmail.com,contato@marcenariasevomrios.com.br,MARCIA DE OLIVEIRA,49-Sócio-Administrador,REGIVALDO RIOS DA SILVA,49-Sócio-Administrador
movelmarcenaria.com.br,55.295.414/0001-87,MOVEL MARCENARIA E DECORACOES LTDA,"RUA CARAUACA, 143, SAO JOAO CLIMACO, SAO PAULO, SP",(11) 2945-8400,perspecto@live.com,perspecto@live.com,RENATO MONTEIRO BALEEIRO,49-Sócio-Administrador,Not available,Not available
ihouseplanejados.com.br,33.115.859/0001-03,MEU MOVEL ONLINE TECNOLOGIA LTDA,"AVENIDA ANTARTICO, 381, JARDIM DO MAR, SAO BERNARDO DO CAMPO, SP",(11) 2598-7239,gabic07@hotmail.com,moduleiihouse@gmail.com,GABRIELA CORREA BORGES,49-Sócio-Administrador,Not available,Not available
dubaimegastore.com.br,40.600.030/0001-53,TRAM COMERCIO LTDA,"AVENIDA DOS ESTADOS, 3913, VILA METALURGICA, SANTO ANDRE, SP",(11) 2946-4455,tram@dubaimegastore.com.br,tram@dubaimegastore.com.br,RAMZI MOURAD,49-Sócio-Administrador,AYMAN MOURAD,49-Sócio-Administrador
awsmoveis.com.br,06.789.046/0001-18,AWS FABRICACAO E COMERCIO DE MOVEIS LIMITADA,"ESTRADA JOAO DUCIM, 1129, JARDIM JAMAICA, SANTO ANDRE, SP",(11) 4432-0725 / (11) 4433-2600,villa@ggabc.com.br,pantoja@alexandrepantoja.adv.br,SEBASTIAO JOSE FERREIRA,49-Sócio-Administrador,MAURO LUCIO DOMINGOS,49-Sócio-Administrador
jsamarcenaria.com.br,33.748.525/0001-69,JS A MARCENARIA LTDA,"RUA AUGUSTO REGUEIRO, 06, JUNDIAPEBA, MOGI DAS CRUZES, SP",(11) 7304-9260,js_amarcenaria@yahoo.com.br,js_amarcenaria@yahoo.com.br,KAIQUE MOREIRA DE SOUSA,49-Sócio-Administrador,Not available,Not available
casagiacomo.com.br,43.732.908/0001-00,CASA GIACOMO DE FERRAGENS LTDA,"R DO GASOMETRO, 327, BRAS, SAO PAULO, SP",(11) 3315-5011,ti@casagiacomo.com.br,thiago.passiano@casagiacomo.com.br,PAULO CESAR VICENTIN,05-Administrador,VICENTIN PARTICIPACOES LTDA,22-Sócio
fredplanejados.com.br,27.170.300/0001-75,FRED MOVEIS PLANEJADOS LTDA,"AVENIDA JOSE RANGEL FILHO, 521, JARDIM PONTE ALTA I, GUARULHOS, SP",(11) 3869-9772 / (11) 4966-6668,fredmoveisplanejados@hotmail.com,fredmoveisplanejados@hotmail.com,FABIANA HENRIQUE DE SOUZA MATIAS SALDANHA,49-Sócio-Administrador,Not available,Not available
milamoveis.com.br,24.129.089/0001-59,ZULMIRA ALVES FERREIRA DE MELO MARCENARIA,"RUA BRIGADEIRO LIMA E SILVA, 206, JARDIM VILA GALVAO, GUARULHOS, SP",(11) 3444-9302,milaalvesmelo@gmail.com,milaalvesmelo@gmail.com,Not available,Not available,Not available,Not available
